Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Minimum Incompatibility,minimum-incompatibility,1799,"You are given an integer array nums​​​ and an integer k. You are asked to distribute this array into k subsets of equal size such that there are no two equal elements in the same subset. A subset's incompatibility is the difference between the maximum and minimum elements in that array. Return the minimum possible sum of incompatibilities of the k subsets after distributing the array optimally, or return -1 if it is not possible. A subset is a group integers that appear in the array with no particular order. ","Array,Dynamic Programming,Bit Manipulation,Bitmask","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDc4",Hard,37.0,15608,5769,,177,81,The constraints are small enough for a backtrack solution but not any backtrack solution If we use a naive n^k don't you think it can be optimized,,
Longest Palindromic Subsequence II,longest-palindromic-subsequence-ii,1822,,"String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Medium,51.1,6364,3251,,101,19,"As with any good dp problem that uses palindromes, try building the palindrome from the edges The prime point is to check that no two adjacent characters are equal, so save the past character while building the palindrome.",516,Longest Palindromic Subsequence
Invalid Tweets,invalid-tweets,1827,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,90.9,18955,17239,,56,69,,,
Count the Number of Consistent Strings,count-the-number-of-consistent-strings,1786,You are given a string allowed consisting of distinct characters and an array of strings words. A string is consistent if all characters in the string appear in the string allowed. Return the number of consistent strings in the array words. ,"Array,Hash Table,String,Bit Manipulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE5",Easy,81.9,102721,84109,,818,39,A string is incorrect if it contains a character that is not allowed Constraints are small enough for brute force,,
Sum of Absolute Differences in a Sorted Array,sum-of-absolute-differences-in-a-sorted-array,1787,"You are given an integer array nums sorted in non-decreasing order. Build and return an integer array result with the same length as nums such that result[i] is equal to the summation of absolute differences between nums[i] and all the other elements in the array. In other words, result[i] is equal to sum(|nums[i]-nums[j]|) where 0 <= j < nums.length and j != i (0-indexed). ","Array,Math,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjYxMDY4",Medium,65.6,29678,19461,,673,22,"Absolute difference is the same as max(a, b) - min(a, b). How can you use this fact with the fact that the array is sorted? For nums[i], the answer is (nums[i] - nums[0]) + (nums[i] - nums[1]) + ... + (nums[i] - nums[i-1]) + (nums[i+1] - nums[i]) + (nums[i+2] - nums[i]) + ... + (nums[n-1] - nums[i]). It can be simplified to (nums[i] * i - (nums[0] + nums[1] + ... + nums[i-1])) + ((nums[i+1] + nums[i+2] + ... + nums[n-1]) - nums[i] * (n-i-1)). One can build prefix and suffix sums to compute  this quickly.",,
Stone Game VI,stone-game-vi,1788,"Alice and Bob take turns playing a game, with Alice starting first. There are n stones in a pile. On each player's turn, they can remove a stone from the pile and receive points based on the stone's value. Alice and Bob may value the stones differently. You are given two integer arrays of length n, aliceValues and bobValues. Each aliceValues[i] and bobValues[i] represents how Alice and Bob, respectively, value the ith stone. The winner is the person with the most points after all the stones are chosen. If both players have the same amount of points, the game results in a draw. Both players will play optimally. Both players know the other's values. Determine the result of the game, and: ","Array,Math,Greedy,Sorting,Heap (Priority Queue),Game Theory","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDcz",Medium,53.7,20030,10751,,473,39,"When one takes the stone, they not only get the points, but they take them away from the other player too. Greedily choose the stone with the maximum aliceValues[i] + bobValues[i].","909,1240,1522,1617,1685,1808,2002,2156","Stone Game,Stone Game II,Stone Game III,Stone Game IV,Stone Game V,Stone Game VII,Stone Game VIII,Stone Game IX"
Delivering Boxes from Storage to Ports,delivering-boxes-from-storage-to-ports,1789,"You have the task of delivering some boxes from storage to their ports using only one ship. However, this ship has a limit on the number of boxes and the total weight that it can carry. You are given an array boxes, where boxes[i] = [ports​​i​, weighti], and three integers portsCount, maxBoxes, and maxWeight. The boxes need to be delivered in the order they are given. The ship will follow these steps: The ship must end at storage after all the boxes have been delivered. Return the minimum number of trips the ship needs to make to deliver all boxes to their respective ports. ","Array,Dynamic Programming,Segment Tree,Queue,Heap (Priority Queue),Monotonic Queue","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjI5,VG9waWNUYWdOb2RlOjM0,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDcx",Hard,37.4,9777,3653,,245,15,Try to think of the most basic dp which is n^2 now optimize it Think of any range query data structure to optimize,,
Count of Matches in Tournament,count-of-matches-in-tournament,1806,"You are given an integer n, the number of teams in a tournament that has strange rules: Return the number of matches played in the tournament until a winner is decided. ","Math,Simulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjYxMDU1",Easy,82.7,79594,65804,,574,107,Simulate the tournament as given in the statement. Be careful when handling odd integers.,,
Partitioning Into Minimum Number Of Deci-Binary Numbers,partitioning-into-minimum-number-of-deci-binary-numbers,1807,"A decimal number is called deci-binary if each of its digits is either 0 or 1 without any leading zeros. For example, 101 and 1100 are deci-binary, while 112 and 3001 are not. Given a string n that represents a positive decimal integer, return the minimum number of positive deci-binary numbers needed so that they sum up to n. ","String,Greedy","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3",Medium,87.8,86815,76222,,789,559,"Think about if the input was only one digit. Then you need to add up as many ones as the value of this digit. If the input has multiple digits, then you can solve for each digit independently, and merge the answers to form numbers that add up to that input. Thus the answer is equal to the max digit.",,
Stone Game VII,stone-game-vii,1808,"Alice and Bob take turns playing a game, with Alice starting first. There are n stones arranged in a row. On each player's turn, they can remove either the leftmost stone or the rightmost stone from the row and receive points equal to the sum of the remaining stones' values in the row. The winner is the one with the higher score when there are no stones left to remove. Bob found that he will always lose this game (poor Bob, he always loses), so he decided to minimize the score's difference. Alice's goal is to maximize the difference in the score. Given an array of integers stones where stones[i] represents the value of the ith stone from the left, return the difference in Alice and Bob's score if they both play optimally. ","Array,Math,Dynamic Programming,Game Theory","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDcz",Medium,58.7,44395,26039,,651,124,The constraints are small enough for an N^2 solution. Try using dynamic programming.,"909,1240,1522,1617,1685,1788,1896,2002,2156","Stone Game,Stone Game II,Stone Game III,Stone Game IV,Stone Game V,Stone Game VI,Maximum Score from Performing Multiplication Operations,Stone Game VIII,Stone Game IX"
Maximum Height by Stacking Cuboids ,maximum-height-by-stacking-cuboids,1367,"Given n cuboids where the dimensions of the ith cuboid is cuboids[i] = [widthi, lengthi, heighti] (0-indexed). Choose a subset of cuboids and place them on each other. You can place cuboid i on cuboid j if widthi <= widthj and lengthi <= lengthj and heighti <= heightj. You can rearrange any cuboid's dimensions by rotating it to put it on another cuboid. Return the maximum height of the stacked cuboids. ","Array,Dynamic Programming,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDQ5",Hard,53.6,20099,10767,,477,16,"Does the dynamic programming sound like the right algorithm after sorting? Let's say box1 can be placed on top of box2. No matter what orientation box2 is in, we can rotate box1 so that it can be placed on top. Why don't we orient everything such that height is the biggest?",2123,The Number of Weak Characters in the Game
Count Ways to Distribute Candies,count-ways-to-distribute-candies,1828,,Dynamic Programming,VG9waWNUYWdOb2RlOjEz,Hard,60.7,2384,1448,,43,5,"Try to define a recursive approach. For the ith candies, there will be one of the two following cases: If the i - 1 previous candies are already distributed into k bags for the ith candy, you can have k * dp[n - 1][k] ways to distribute the ith candy. We need then to solve the state of (n - 1, k). If the i - 1 previous candies are already distributed into k - 1 bags for the ith candy, you can have dp[n - 1][k - 1] ways to distribute the ith candy. We need then to solve the state of (n - 1, k - 1). This approach will be too slow and will traverse some states more than once. We should use memoization to make the algorithm efficient.",,
Daily Leads and Partners,daily-leads-and-partners,1837,"Table: DailySales  Write an SQL query that will, for each date_id and make_name, return the number of distinct lead_id's and distinct partner_id's. Return the result table in any order. The query result format is in the following example. ",Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,91.5,17652,16160,,85,9,,,
Reformat Phone Number,reformat-phone-number,1812,"You are given a phone number as a string number. number consists of digits, spaces ' ', and/or dashes '-'. You would like to reformat the phone number in a certain manner. Firstly, remove all spaces and dashes. Then, group the digits from left to right into blocks of length 3 until there are 4 or fewer digits. The final digits are then grouped as follows: The blocks are then joined by dashes. Notice that the reformatting process should never produce any blocks of length 1 and produce at most two blocks of length 2. Return the phone number after formatting. ",String,VG9waWNUYWdOb2RlOjEw,Easy,65.0,37074,24090,,202,160,"Discard all the spaces and dashes. Use a while loop. While the string still has digits, check its length and see which rule to apply.",,
Maximum Erasure Value,maximum-erasure-value,1813,"You are given an array of positive integers nums and want to erase a subarray containing unique elements. The score you get by erasing the subarray is equal to the sum of its elements. Return the maximum score you can get by erasing exactly one subarray. An array b is called to be a subarray of a if it forms a contiguous subsequence of a, that is, if it is equal to a[l],a[l+1],...,a[r] for some (l,r). ","Array,Hash Table,Sliding Window","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjU1ODIx",Medium,52.4,78337,41076,,823,14,The main point here is for the subarray to contain unique elements for each index. Only the first subarrays starting from that index have unique elements. This can be solved using the two pointers technique,3,Longest Substring Without Repeating Characters
Jump Game VI,jump-game-vi,1814,"You are given a 0-indexed integer array nums and an integer k. You are initially standing at index 0. In one move, you can jump at most k steps forward without going outside the boundaries of the array. That is, you can jump from index i to any index in the range [i + 1, min(n - 1, i + k)] inclusive. You want to reach the last index of the array (index n - 1). Your score is the sum of all nums[j] for each index j you visited in the array. Return the maximum score you can get. ","Array,Dynamic Programming,Queue,Sliding Window,Heap (Priority Queue),Monotonic Queue","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjM0,VG9waWNUYWdOb2RlOjU1ODIx,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDcx",Medium,42.7,99365,42467,,1287,51,"Let dp[i] be ""the maximum score to reach the end starting at index i"". The answer for dp[i] is nums[i] + max{dp[i+j]} for 1 <= j <= k. That gives an O(n*k) solution. Instead of checking every j for every i, keep track of the largest dp[i] values in a heap and calculate dp[i] from right to left. When the largest value in the heap is out of bounds of the current index, remove it and keep checking.","239,2001","Sliding Window Maximum,Jump Game VII"
Checking Existence of Edge Length Limited Paths,checking-existence-of-edge-length-limited-paths,1815,"An undirected graph of n nodes is defined by edgeList, where edgeList[i] = [ui, vi, disi] denotes an edge between nodes ui and vi with distance disi. Note that there may be multiple edges between two nodes. Given an array queries, where queries[j] = [pj, qj, limitj], your task is to determine for each queries[j] whether there is a path between pj and qj such that each edge on the path has a distance strictly less than limitj . Return a boolean array answer, where answer.length == queries.length and the jth value of answer is true if there is a path for queries[j] is true, and false otherwise. ","Array,Union Find,Graph,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIz,VG9waWNUYWdOb2RlOjI0,VG9waWNUYWdOb2RlOjYxMDQ5",Hard,48.7,15985,7788,,444,9,All the queries are given in advance. Is there a way you can reorder the queries to avoid repeated computations?,1865,Checking Existence of Edge Length Limited Paths II
